Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Brownies In The Basin","Cob Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756787/brownies-in-the-basin,2.4,-1,"Trad, Sport",5.9+,2,,40.0005,-105.3895
"Night Vision","Cob Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751810/night-vision,2.5,-1,"Trad, Sport","5.10b PG13",3,,40.0005,-105.3895
"Corn on the Cob","Cob Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764739/corn-on-the-cob,1.9,-1,"Trad, Sport",5.10b/c,1,70,40.0005,-105.3895
"Thunder Road","Cob Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764868/thunder-road,2.6,-1,Sport,5.12-,1,70,40.0005,-105.3895
"Maid Marian","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748041/maid-marian,1.1,-1,Sport,5.9,1,,40.0014,-105.3959
"The Prince and The Pauper","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106466173/the-prince-and-the-pauper,1.8,-1,Sport,5.10a,1,60,40.0014,-105.3959
"Boyz From The Hood","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106050176/boyz-from-the-hood,1.4,-1,Sport,5.10b,1,60,40.0014,-105.3959
"Men in Tights","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105760656/men-in-tights,2.5,-1,Sport,5.10b,1,60,40.0014,-105.3959
"Tony Bubb's Little Stick","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105762816/tony-bubbs-little-stick,1.7,-1,Sport,5.10c,1,70,40.0014,-105.3959
"Tuckered and Fried","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748038/tuckered-and-fried,2.4,-1,Sport,5.10c,1,,40.0014,-105.3959
"Fatman and Robin","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105762801/fatman-and-robin,2.2,-1,Sport,5.10d,1,70,40.0014,-105.3959
"Merry Men","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748026/merry-men,2.4,-1,Sport,5.11a,1,,40.0014,-105.3959
"Sheriff's Tariff","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748035/sheriffs-tariff,2.7,-1,Sport,5.11a/b,1,,40.0014,-105.3959
"Robbin' the Hood","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748032/robbin-the-hood,2.8,-1,Sport,5.11c,1,,40.0014,-105.3959
"Prince of Thieves","Sherwood Forest > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748029/prince-of-thieves,3.1,-1,Sport,5.12b,1,,40.0014,-105.3959
"Thanks Bill Left","Bummers Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748157/thanks-bill-left,1.5,-1,Sport,"5.11a R",2,,40.0095,-105.3434
"Suspended Man","Bummers Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748151/suspended-man,1.0,-1,Sport,5.12b,2,,40.0095,-105.3434
"Moby Dike","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764400/moby-dike,1.5,-1,Sport,5.10b,1,60,40.0018,-105.3869
Reveille,"Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759228/reveille,2.0,-1,"Trad, Sport",5.10d,1,90,40.0018,-105.3869
Electricity,"Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105761691/electricity,1.3,-1,"Trad, Sport",5.12a,2,150,40.0018,-105.3869
"Rise and Shine","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759225/rise-and-shine,3.2,-1,Sport,5.12a,1,90,40.0018,-105.3869
"Return To Sender","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105761676/return-to-sender,2.1,-1,Sport,5.12a/b,2,130,40.0018,-105.3869
"Peach Cobbler","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/107926712/peach-cobbler,2.7,-1,Sport,5.12b,1,50,40.0018,-105.3869
"Welcome Home","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105763506/welcome-home,2.0,-1,Sport,5.12b/c,1,40,40.0018,-105.3869
"The Spins","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105763530/the-spins,1.5,-1,"Trad, Sport",5.12c,1,60,40.0018,-105.3869
"The Jitters","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759231/the-jitters,2.0,-1,Sport,5.12c,1,80,40.0018,-105.3869
"The Buzz","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105753976/the-buzz,2.7,-1,Sport,5.12d,1,,40.0018,-105.3869
"The Lorax","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105759219/the-lorax,3.8,-1,Sport,5.13b,1,90,40.0018,-105.3869
"Speaks For The Trees","Bitty Buttress > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/117259145/speaks-for-the-trees,4.0,-1,Sport,5.14c,1,80,40.0018,-105.3869
"Last Laugh","Happy Hour Crag > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105756565/last-laugh,2.2,-1,"Trad, Sport, TR",5.11a,1,100,40.0033,-105.3939
Qs,"The Boulderado > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748105/qs,2.5,-1,"Sport, TR",5.9+,1,,39.99738,-105.41615
"Jazz on the Mezzanine","The Boulderado > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105762738/jazz-on-the-mezzanine,2.6,-1,Sport,5.12b,1,40,39.99738,-105.41615
"That's Weak","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105748274/thats-weak,2.1,-1,"Sport, TR",5.10a,1,,39.997,-105.4139
"The Politician","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/111972843/the-politician,2.6,-1,Sport,5.10a,1,100,39.997,-105.4139
Climb-Eye-Knight,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764010/climb-eye-knight,2.2,-1,Sport,5.10b,1,90,39.997,-105.4139
"Monkey's Sister","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106546321/monkeys-sister,1.6,-1,Sport,5.10,1,70,39.997,-105.4139
"Monkey's Uncle","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757210/monkeys-uncle,2.1,-1,Sport,5.10d,1,,39.997,-105.4139
"Pin Cushion","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105760398/pin-cushion,2.0,-1,Sport,5.11c,1,50,39.997,-105.4139
"Trash It and Move On","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758443/trash-it-and-move-on,2.6,-1,"Trad, Sport",5.11c,2,170,39.997,-105.4139
"The Bureau (Pitch 1)","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/106180614/the-bureau-pitch-1,2.9,-1,Sport,5.11d,1,50,39.997,-105.4139
"Fear of Sunlight","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105751471/fear-of-sunlight,1.6,-1,Sport,5.11d,1,70,39.997,-105.4139
"Blood Doll","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105760515/blood-doll,2.0,-1,Sport,5.12a,1,80,39.997,-105.4139
"Le Stat","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105760338/le-stat,2.5,-1,Sport,5.12a,2,140,39.997,-105.4139
"The Good, The Bad, and The Jacked","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105758419/the-good-the-bad-and-the-jacked,3.5,-1,Sport,5.12a,2,150,39.997,-105.4139
A.C.E.,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105764058/ace,1.7,-1,Sport,5.12a,1,80,39.997,-105.4139
Wanker,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/105757207/wanker,3.0,-1,Sport,5.12a/b,1,,39.997,-105.4139
Transylverlina,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/119242027/transylverlina,1.5,-1,Sport,5.12b,4,,39.997,-105.4139
3Ts,"Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121185106/3ts,4.0,-1,Sport,5.12b,2,150,39.997,-105.4139
"Wanker (upper)","Vampire Rock > Boulder Canyon > Boulder > Colorado",https://www.mountainproject.com/route/121727595/wanker-upper,3.0,-1,Sport,5.12b,1,90,39.997,-105.4139
