route,location,url,avg_stars,route_type,rating,pitches,length,area_latitude,area_longitude,climbing_rating_complete,protection
Brownies In The Basin,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105756787/brownies-in-the-basin,2.4,"Trad, Sport",5.9+,2.0,,40.0005,-105.3895,9.35,G
Night Vision,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105751810/night-vision,2.5,"Trad, Sport",5.10b PG13,3.0,,40.0005,-105.3895,10.2,PG13
Corn on the Cob,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764739/corn-on-the-cob,1.9,"Trad, Sport",5.10b/c,1.0,70.0,40.0005,-105.3895,10.25,G
Thunder Road,Cob Rock > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105764868/thunder-road,2.6,Sport,5.12-,1.0,70.0,40.0005,-105.3895,12.15,G
Maid Marian,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748041/maid-marian,1.1,Sport,5.9,1.0,,40.0014,-105.3959,9.0,G
The Prince and The Pauper,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106466173/the-prince-and-the-pauper,1.8,Sport,5.10a,1.0,60.0,40.0014,-105.3959,10.1,G
Boyz From The Hood,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/106050176/boyz-from-the-hood,1.4,Sport,5.10b,1.0,60.0,40.0014,-105.3959,10.2,G
Men in Tights,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105760656/men-in-tights,2.5,Sport,5.10b,1.0,60.0,40.0014,-105.3959,10.2,G
Tony Bubb's Little Stick,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762816/tony-bubbs-little-stick,1.7,Sport,5.10c,1.0,70.0,40.0014,-105.3959,10.3,G
Tuckered and Fried,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748038/tuckered-and-fried,2.4,Sport,5.10c,1.0,,40.0014,-105.3959,10.3,G
Fatman and Robin,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105762801/fatman-and-robin,2.2,Sport,5.10d,1.0,70.0,40.0014,-105.3959,10.4,G
Merry Men,Sherwood Forest > Boulder Canyon > Boulder > Colorado,https://www.mountainproject.com/route/105748026/merry-men,2.4,Sport,5.11a,1.0,,40.0014,-105.3959,11.1,G
